0	1	2
Sess01_script03_M010	3	'발전? 어디까지 돼야 발전일까요? 아이디어를 내는 족족 채택되면 발전된 겁니까? 아니면 회사에서 무조건 인정돼주면 그게 발전된 겁니까?'
Sess01_impro02_F014	3	'아들아 우리 일단 밥 먹고 얘기하까? (어)'
Sess01_impro01_F006	3	'어디서 뭐 잡지식이나 주워들어왔는지 모르겠는데, 저기요. 저 여기 스파주방장입니다.'
Sess01_script02_F006	3	'아 뭐야. 나 말 안해.'
Sess01_impro01_F014	2	'아니 당신은 좋을 싫을지 몰라도 저 사람들은 다 좋다고 하잖아. 근데 왜 니가.'
Sess01_impro02_M004	3	'알죠 아 나 근데 거기서 갔는데 그 김 부장 그 새끼가, 그 새끼가 나한테 겁나 뭐라고 하는 거예요. 그래서 내가 아 나 진짜 아 내가 하 이 나이 먹고 내가 그런 말을 내가 들어야 되는 거야? 내가 진짜 어이가 없어 아 진짜.'
Sess01_impro01_F009	3	'지금 당신이 말하는 바로는.'
Sess01_script06_F015	0	'o  N  얼마든지 꼬집어 줄게.'
Sess01_script03_M014	2	'이번 장기 프로젝트의 핵심은 뭐죠?'
Sess01_impro04_F005	3	'아 은서 줄넘기 오늘 대회 나간다고 열심히 운동하더니 곯아떨어져 자버렸어.'
Sess01_script01_M010	5	'o  아    아 그래 맞아. 고라니였나보다. 그치? 고라니였어.    그니까 너랑 나랑 술을 마셔서 고라니를 이 사람으로 착각을 한 거야. 그지?'
Sess01_script01_F018	1	'o     지 지섭씨. 저 저기 o  저기.'
Sess01_impro04_M028	0	'o  아유 진짜 이 사람 왜 이래 진짜 어? 둘째 가져야겠어 오늘?'
Sess01_script02_F027	1	'이젠 안 만나.'
Sess01_script01_M031	5	'완전히 끝장 내야지.'
Sess01_script04_M014	3	'그럼 그럼 됐죠 뭐. 그 연애에 얘기를 물어본 것도 뭐 저도 실례였으니까 이해해 주시기 바랍니다. 어쨌든 이게 다 면접 보는 방식 중에 하납니다 이해하시죠? 그 그리고 이력서 보니까 그 특기가 노래랑 춤이라고 적혀있는데 노래 잘해요?'
Sess01_script02_M024	3	'그치? 여진이 너가 생각해도 젓가락 백 개는 좀 심했지? 미안해.'
Sess01_impro03_F001	3	'들어와요.'
Sess01_script02_M002	3	'켁켁 어? 갑자기 뭔 꿈?'
Sess01_impro03_M009	2	'부장님 그 일을 누가 시켰습니까?'
Sess01_impro02_M012	3	'아들 편인데 지금 그게 말을 그렇게 하는 거예요?'
Sess01_impro04_F023	3	'아 안 들려 안 들려.'
