0	1	2
Sess01_script04_F003	3	'네 (감사합니다)'
Sess01_impro02_M017	6	'(어 아) 엄마 죄송해요. 제가 저, 저도 예민했던 거 알긴 아는데 o  근데 전 하 엄마한테까지.'
Sess01_impro01_M010	3	'저는 모릅니다 바보아닌지 바보인진 모르겠지만, 저 여기 앞에 지금 식당에 있는 이 손님들도 속아서 온 거일지도 모르지 않습니까?'
Sess01_script02_M017	3	'유진아.'
Sess01_impro02_M002	2	'아니 나 진짜 밖에서 나 집 오늘 아나 나 이 나이 먹고 내 이런 취급받아야 돼요 도대체? 하 미치겠네 진짜.'
Sess01_impro02_F022	3	'역시 돼지고기지 그치?'
Sess01_impro01_M013	2	'스타요리사가 그런 음식입니까?'
Sess01_script06_M023	3	'아 됐고.'
Sess01_script04_F007	3	'그게 음 80점 정도 주고 싶습니다. o'
Sess01_impro04_M006	1	'이거 뭐야 손은 왜 이래.'
Sess01_script01_F010	5	'지섭씨.'
Sess01_script02_M007	3	'우리 여진이 꿈이 뭐야?'
Sess01_script01_M015	2	'나 공무원 못 되면 우리 결혼도 못 해. 그잖아. 그냥 가자? 어?'
Sess01_script03_M006	3	'그런 소은 씨는 왜 물어보시는 겁니까? 어차피 추진되면 다 아는 아이디어를 굳이 추진도 하기 전에 물어보는 이유가 뭘까요?'
Sess01_script02_F009	3	'아 어때? 난 오빠 여잔데 내가 부끄러?'
Sess01_script05_F003	2	'거기 마트 생긴 지 두 달이 넘었어. 그것도 몰라?'
Sess01_script03_F001	3	'안녕하세요 팀장님.'
Sess01_impro02_M026	3	'네 전 그거 아니면 안 삐질 거 같고 아 삐진 게 안 삐질 거 같애요.'
Sess01_script02_F012	3	'에이 무슨 셋은 낳아야지.'
Sess01_impro04_F007	3	'아니 그게 아니라 아까 놀이터에서 은서랑 놀다가 이렇게 돼버렸네. 괜찮아 근데 아휴 은서 다칠뻔했어 진짜 안 다쳐서 다행이지.'
Sess01_impro03_F008	2	'무슨 말이에요 내가 막을 수 있었는데 안 막았다는 얘기에요?'
Sess01_impro04_M024	3	'귀까지 먹은 거야?'
Sess01_script03_F016	2	'(있겠습니까 아니) 그래도.'
Sess01_script01_M018	2	'(이래 자꾸) 이러면 나도 더 이상 안 참아.'
Sess01_script05_F014	6	'사실 우리 아빠도 나랑 같은 병이었어.'
Sess01_impro04_M029	3	'아이 근데 나 피곤하긴 피곤한데.'
Sess01_impro02_M010	2	'엄마 지금 그게 제 탓이라는 거예요? 한두 번도 아니고 지금 세 번째 면은 그게 제탓이라는 거예요 지금?'
Sess01_script04_M013	3	'됐구요 그 취직 공부하느라고 연애할 시간도 없었던 거죠? 그럼 마지막 연애한 게 언제예요?'
Sess01_script03_M009	3	'생각보다 소은씨는 까다롭군요. 그게 왜 궁금합니까?'
Sess01_script01_F001	5	'몰라. o     아 몰라 어떡해. o'
Sess01_script02_M010	0	'아니 그게 아니라 갑자기 그러니까 당연히 당황하지.      .'
Sess01_script01_F012	5	'이건 사람이면 사람이면 이러면 안 되잖아.    당신 이런 사람 아니잖아. 왜 그러는 (건데)'
Sess01_script02_M019	3	'어서 봐봐.'
Sess01_script03_M014	3	'이번 장기 프로젝트의 핵심은 뭐죠?'
Sess01_script06_M025	0	'진작에 그럴 것이지.    야 얼마 필요해?'
Sess01_script06_F007	2	'헐 그냥 인터넷으로 나중에 (검색하라고)'
Sess01_impro01_M011	3	'그래서 얘기하는겁니다. 지금 당신은 맛으로 승부한다기보다는 이 스타성 때문에 겉으로 지금 번들번들한 것 때문에 이거 땜에 지금 금액대가 올라간 거고 이거 땜에 지금 당신은 이 스타성을 유지하고 있다고 생각하지 않습니까? (아뇨   밖에) 지금 서 있는 저 줄 서 있는 저 사람들을 보십쇼. 그 정도의 댓가에 그런 맛입니까?'
Sess01_impro03_F001	3	'들어와요.'
Sess01_impro04_M026	3	'이 사람 진짜 (왜 이럴까)'
Sess01_script01_F019	1	'아 저 저 앞에 아 사람. 우리가 친 사람. 아 지나가고 있어. o'
Sess01_script05_M004	0	'아니 뭐 모를 수도 있지 뭐 그게 무슨 대수인가?    아이고 아이 야 저 저 저 저거 진짜 웃기다.'
Sess01_impro03_F013	3	'무슨 소리예요?'
Sess01_script04_F020	2	'아무리 약자라고 기본적으로 인간적인 대우를 해줘야 될 거 아냐. o  시간 때우려고 니들 심심풀이 땅콩으로 채우려고 지원자 갖고 놀지 말라구.'
Sess01_impro04_F024	0	'아 너무 작잖아 그 정도밖에 안돼? 어?'
Sess01_script02_F018	3	'그게 뭔데.'
Sess01_script04_M015	3	'치 설마가 사람 잡는다고 하잖아요. 특기가 노래랑 춤이라면서 뭐 보여줄 수 있습니까? 요즘 유행하는 노래 있잖아요. 그 그 뭡니까 그 그 그 초등학생들도 부르는 노래 뭐였다? 뭐 사랑을 (했다)'
Sess01_impro04_M014	3	'아니 자기는 그거를 매년마다 꺼낼 거야? 어? 맨날 얘기하면서 그렇게 웃어?'
Sess01_script04_F006	3	'아 아니오. 패션 쪽에서 관심이 있어서 옷 코디하는 방법을    찍어서 올리고 있습니다.'
Sess01_impro02_F005	3	'(맞아요 예 어) 그래 김 부장도 그 위치가 있으니까.'
Sess01_script03_F009	2	'팀장님 말씀이 좀 (지나치신 것 같은데)'
Sess01_impro01_M009	3	'하나만 더 물어보죠. 방송국에 돈 찔렀죠? 돈 찔른 거 (아닙니까?)'
Sess01_impro04_M021	3	'아유 됐어.'
Sess01_script05_M011	3	'어 그 얼마나 살 수 있대?'
Sess01_impro04_M033	3	'들어오지 마 애들 있는데.'
Sess01_impro03_M007	2	'아니 부장님 징계위원이 열리는 거 그거 솔직히 부장님 선에서 막을 수 있지 않았습니까? 부장님도 동의를 하셨기 때문에 지금 이게 열리는 거 아니에요?'
Sess01_script06_M021	0	'(좀 야) 로또 1등 된 사람만 쫓아다니면서 그 돈 뺐고 구걸하는 사람이 있다잖아. 그거 그거 혹 그게 그게 혹시 모르니까 그건 이건 너랑 나랑만 아는 그 비밀이다 알기 알았지?'
Sess01_script04_F012	2	'회사 다닐 때 했습니다.'
Sess01_script05_F011	6	'화낸다고 달라질 거 없잖아.'
Sess01_impro04_M009	3	'빨리 가져와봐.'
Sess01_script06_F003	3	'친오빠 다 얼어 죽었네.'
Sess01_impro04_M018	3	'그건 그런가?'
Sess01_script03_M003	3	'네 그렇게 됐습니다.'
Sess01_script04_F008	3	'네? 어째서.'
Sess01_impro01_F002	3	'된장베이스로 남녀노소 좋아할 거 같구요. 뭐 파랑 향을 익혀서 좀 고급진 맛을 더했죠.'
Sess01_impro03_M022	3	'쿵.'
Sess01_script02_M030	3	'아니 그래도.'
Sess01_script04_M014	3	'그럼 그럼 됐죠 뭐. 그 연애에 얘기를 물어본 것도 뭐 저도 실례였으니까 이해해 주시기 바랍니다. 어쨌든 이게 다 면접 보는 방식 중에 하납니다 이해하시죠? 그 그리고 이력서 보니까 그 특기가 노래랑 춤이라고 적혀있는데 노래 잘해요?'
Sess01_script03_F014	2	'(그리고 아니) 지금 오타 때문에 아이디어를 탈락 시켰다구요? 가장 좋은 아이디어를 오타 때문에?'
Sess01_script04_F002	3	'아 원래 인서울권 대학에 합격했지만 집안 (사정으로)'
Sess01_impro04_F022	3	'그러면은 어? 내가 듣고 싶은 말이 있는데 안 해주네 자꾸?'
Sess01_script04_M002	3	'음 지방대 출신이시네요.'
Sess01_script04_F009	3	'네.'
Sess01_impro04_F012	3	'왜 기억 안 나?'
Sess01_impro01_F013	2	'원래 요리사가 요리사 음식 평가할 때 그렇게 함부로 말하는 거 아닌거 알지 않아요?'
Sess01_impro02_F004	3	'아들 o  일단 좀 진정하고.'
Sess01_impro03_F003	2	'지금 이 거래내역이 어떻게 되는 거죠? 왜 여기서 마이너스가 나는 거지'
Sess01_script01_M021	2	'날 지금 망가트리려고 하고 있잖아.    너 입만 뻥끗해봐. 너도 똑같이 만들어줄테니까.'
Sess01_impro04_M030	0	'금방 씻고 올게.'
Sess01_script05_M006	3	'이게 뭐야 어 지알 말 마트는 라면하고 생핑 생필품이 싸고 어 반찬가게는 옆 동네 시장이 괜찮고 어 이게 뭔데 뭐 날 적어줘?'
Sess01_script04_F005	3	'취미요? 아 요즘 유튜브 영상을 찍고 있습니다.'
Sess01_impro02_M024	3	'엄마, 엄마가 지금 해주는 김치찌개 먹고 싶어요.'
Sess01_script01_F016	5	'지섭씨 (무서워)'
Sess01_impro02_F003	3	'알지.'
Sess01_script06_M020	0	'o  야이씨 야 저 성희야. 너 이 사실을 너 누구한테도 얘기하면 안 된다 알았지?'
Sess01_script01_F020	5	'살았나봐. 어떡해? (어떡해)'
Sess01_script04_M003	3	'(사정으로 네) 잘 알겠습니다.    o  어 학점은 꽤 높군요. 전공 지식도 풍부하고 대학원까지 나왔으니 이 분야에 대해서는 많이 아실 것 같습니다.'
Sess01_script04_M012	3	'그래서 옷이 그렇구나.'
Sess01_script03_F002	3	'회의 시작 전이죠?'
Sess01_impro01_M012	2	'말이 길었습니다. 제가 먹어보겠습니다.    이게 무슨 맛입니까? 이게 스타강사가 만든 그런.'
Sess01_impro04_F015	0	'나는 좋았다고 그 얘기를 하고 싶은 거예요.'
Sess01_script04_M011	3	'어 근데 유진 씨는 애인 있어요?'
Sess01_impro04_F026	3	'(왜 이럴까 아니) 남이 듣던 말던 그게 무슨 상관이래?'
Sess01_script01_M009	5	'그 그럼 뭐지? 어? 뭐 뭐.'
Sess01_impro02_M011	2	'(아니라 그) 뜻이잖아요 지금 엄마. 엄마 너무한 거 아니에요? 엄마 나 엄마 아들이에요 하나밖에 없는 엄마 아들 근데 말을 이렇게 할 거예요? 아 진짜.'
Sess01_script02_F004	3	'아이 얼릉.'
Sess01_script02_M004	3	'아니 글쎄 열심히 일해서 지금 일하는 (중국집 주인)'
Sess01_script06_F022	0	'o  N  지금 지금 전화 걸게 내 친구들 얼 많아.'
Sess02_script05_F012	2	'회사 다닐 때 했습니다.'
Sess02_script06_F008	3	'우리 회사에서 제일 잘 나가는 팀장님이랑 새로운 TS팀 꾸려서 능력 인정받고 싶었는데 그걸 못하게 됐으니까요. 도대체 어떤 아이디어길래 날 빼고 추진하려는 걸까    뭐 이런 아쉬움인 거죠. o'
