,Seg,Emotion,Role,wav_path,txt_path
0,Sess01_impro04_F032,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F032.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F032.txt
1,Sess01_impro04_M028,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M028.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_M028.txt
2,Sess01_script02_F021,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F021.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F021.txt
3,Sess01_script01_M032,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M032.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M032.txt
4,Sess01_impro02_M004,angry,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M004.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro02/Sess01_impro02_M004.txt
5,Sess01_impro01_F005,disgust,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro01/Sess01_impro01_F005.txt
6,Sess01_script01_M026,fear,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M026.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_M026.txt
7,Sess01_impro04_F013,happy,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F013.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro04/Sess01_impro04_F013.txt
8,Sess01_impro03_F020,surprise,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F020.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_impro03/Sess01_impro03_F020.txt
9,Sess01_script04_M005,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M005.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M005.txt
10,Sess01_script02_F001,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F001.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F001.txt
11,Sess01_script04_M007,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M007.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script04/Sess01_script04_M007.txt
12,Sess01_script02_F025,neutral,Speaker,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F025.wav,/content/drive/MyDrive/ETRI/KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F025.txt
